Species,Site,Date,mean,2.50%,97.50%
Branchinecta_sandiegonensis,VP-1,Time 1,0.994,0.964,1
Branchinecta_sandiegonensis,VP-1,Time 2,0.994,0.965,1
Branchinecta_sandiegonensis,VP-1,Time 3,0.18,0.001,0.81
Branchinecta_sandiegonensis,VP-2,Time 1,0.994,0.957,1
Branchinecta_sandiegonensis,VP-2,Time 2,0.995,0.967,1
Branchinecta_sandiegonensis,VP-2,Time 3,0.172,0.002,0.768
Branchinecta_sandiegonensis,VP-3,Time 1,0.993,0.959,1
Branchinecta_sandiegonensis,VP-3,Time 2,0.994,0.962,1
Branchinecta_sandiegonensis,VP-3,Time 3,0.994,0.964,1
Branchinecta_sandiegonensis,VP-4,Time 1,0.994,0.966,1
Branchinecta_sandiegonensis,VP-4,Time 2,0.173,0.002,0.784
Branchinecta_sandiegonensis,VP-4,Time 3,0.168,0.002,0.808
Branchinecta_sandiegonensis,VP-5,Time 1,0.995,0.965,1
Branchinecta_sandiegonensis,VP-5,Time 2,0.995,0.957,1
Branchinecta_sandiegonensis,VP-5,Time 3,0.16,0.002,0.689
Branchinecta_sandiegonensis,VP-6,Time 1,0.994,0.96,1
Branchinecta_sandiegonensis,VP-6,Time 2,0.174,0.002,0.741
Branchinecta_sandiegonensis,VP-6,Time 3,0.173,0.001,0.806
Branchinecta_sandiegonensis,VP-7,Time 1,0.995,0.966,1
Branchinecta_sandiegonensis,VP-7,Time 2,0.168,0.002,0.741
Branchinecta_sandiegonensis,VP-7,Time 3,0.168,0.002,0.776
Branchinecta_sandiegonensis,VP-8,Time 1,0.994,0.967,1
Branchinecta_sandiegonensis,VP-8,Time 2,NA,NA,NA
Branchinecta_sandiegonensis,VP-8,Time 3,0.994,0.963,1
Branchinecta_sandiegonensis,VP-9,Time 1,NA,NA,NA
Branchinecta_sandiegonensis,VP-9,Time 2,NA,NA,NA
Branchinecta_sandiegonensis,VP-9,Time 3,0.177,0.002,0.772
Branchinecta_sandiegonensis,VP-10,Time 1,0.995,0.966,1
Branchinecta_sandiegonensis,VP-10,Time 2,0.994,0.97,1
Branchinecta_sandiegonensis,VP-10,Time 3,0.165,0.002,0.752
