Hashes	sum.taxonomy
merged_vp2_Metazoa_16s_118	Eukaryota;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Thulinius;Thulinius sp. DVL-2010
merged_vp2_Metazoa_16s_488	Eukaryota;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Thulinius;Thulinius sp. DVL-2010
merged_vp2_Metazoa_16s_747	Eukaryota;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Thulinius;Thulinius sp. DVL-2010
merged_vp2_Metazoa_16s_341	Eukaryota;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pseudobiotus;Pseudobiotus sp. SHR-2005
merged_vp2_Metazoa_16s_53	Eukaryota;Rotifera;Monogononta;Ploima;Brachionidae;Brachionus;
merged_vp2_Metazoa_16s_164	Eukaryota;Rotifera;Monogononta;Ploima;Brachionidae;Brachionus;
merged_vp2_Metazoa_16s_25	Eukaryota;Rotifera;Monogononta;Ploima;;;
merged_vp2_Metazoa_16s_182	Eukaryota;Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina;Philodina citrina
merged_vp2_Metazoa_16s_400	Eukaryota;Rotifera;Bdelloidea;NA;NA;Rotaria;Rotaria rotatoria
merged_vp2_Metazoa_16s_698	Eukaryota;Rotifera;Bdelloidea;NA;NA;Rotaria;Rotaria rotatoria
merged_vp2_Metazoa_16s_614	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Plakina;
merged_vp2_Metazoa_16s_471	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella microlobata
merged_vp2_Metazoa_16s_215	Eukaryota;Porifera;Demospongiae;Verongiida;Aplysinidae;Aplysina;Aplysina cauliformis
merged_vp2_Metazoa_16s_711	Eukaryota;Porifera;Demospongiae;Verongiida;Aplysinidae;Aplysina;Aplysina cauliformis
merged_vp2_Metazoa_16s_272	Eukaryota;Porifera;Demospongiae;Tetractinellida;;;
merged_vp2_Metazoa_16s_550	Eukaryota;Porifera;Demospongiae;Tetractinellida;;;
merged_vp2_Metazoa_16s_543	Eukaryota;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;Tethya sp. XMU02001079
merged_vp2_Metazoa_16s_602	Eukaryota;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;
merged_vp2_Metazoa_16s_565	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Latrunculiidae;Negombata;Negombata magnifica
merged_vp2_Metazoa_16s_717	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Latrunculiidae;Negombata;Negombata magnifica
merged_vp2_Metazoa_16s_587	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Iotrochotidae;Iotrochota;Iotrochota birotulata
merged_vp2_Metazoa_16s_674	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Iotrochotidae;Iotrochota;Iotrochota birotulata
merged_vp2_Metazoa_16s_542	Eukaryota;Porifera;Demospongiae;Poecilosclerida;;;
merged_vp2_Metazoa_16s_680	Eukaryota;Porifera;Demospongiae;Poecilosclerida;;;
merged_vp2_Metazoa_16s_696	Eukaryota;Porifera;Demospongiae;Axinellida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
merged_vp2_Metazoa_16s_737	Eukaryota;Porifera;Demospongiae;Axinellida;Axinellidae;Axinella;Axinella corrugata
merged_vp2_Metazoa_16s_113	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_121	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_454	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_544	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_586	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_613	Eukaryota;Porifera;Demospongiae;;;;
merged_vp2_Metazoa_16s_617	Eukaryota;Porifera;Demospongiae;;;;
