Sample_name	Field_sample_name	Pool	Pool_collapse	Time_point	Sample_rep	Sample_pool	Presence_in_net	Pool_locations	k	Pool_location	Pristine_vs_Restored	Sample_Control	Replicate	Volume_filtered
VP.COMB.T3.33.S92.L001	Neg_control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	NA
VP.COMB.T3.34.S93.L001	Post_control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	NA
VP.COMB.T1.01.S1.L001	BLANK-1	NA	NA	T1	NA	NA	NA	NA	NA	NA	NA	Control	NA	1000
VP.COMB.T2.01.S32.L001	BLANK-2	NA	NA	T2	NA	NA	NA	NA	NA	NA	NA	Control	NA	1000
VP.COMB.T3.01.S60.L001	BLANK-3	NA	NA	T3	NA	NA	NA	NA	NA	NA	NA	Control	NA	1000
VP.COMB.T1.06.S6.L001	VP-01-01	EP-17	EP-17	T1	T1_EP-17_A	T1_EP-17	Sandiegensis	A	3	Edge	Restored	Sample	EP-17-A	250
VP.COMB.T1.23.S23.L001	VP-01-02	EP-17	EP-17	T1	T1_EP-17_B	T1_EP-17	Sandiegensis	B	3	Middle	Restored	Sample	EP-17-A	200
VP.COMB.T1.26.S26.L001	VP-01-03	EP-17	EP-17	T1	T1_EP-17_C	T1_EP-17	Sandiegensis	C	3	Center	Restored	Sample	EP-17-A	275
VP.COMB.T1.09.S9.L001	VP-02-01	EP-13	EP-13	T1	T1_EP-13_A	T1_EP-13	Sandiegensis	A	3	Edge	Restored	Sample	EP-13-A	350
VP.COMB.T1.13.S13.L001	VP-02-02	EP-13	EP-13	T1	T1_EP-13_B	T1_EP-13	Sandiegensis	B	3	Middle	Restored	Sample	EP-13-A	300
VP.COMB.T1.28.S28.L001	VP-02-03	EP-13	EP-13	T1	T1_EP-13_C	T1_EP-13	Sandiegensis	C	3	Center	Restored	Sample	EP-13-A	250
VP.COMB.T1.21.S21.L001	VP-03-01	EP-12	EP-12	T1	T1_EP-12_A	T1_EP-12	Sandiegensis	A	3	Edge	Restored	Sample	EP-12-A	300
VP.COMB.T1.03.S3.L001	VP-03-02	EP-12	EP-12	T1	T1_EP-12_B	T1_EP-12	Sandiegensis	B	3	Middle	Restored	Sample	EP-12-A	300
VP.COMB.T1.15.S15.L001	VP-03-03	EP-12	EP-12	T1	T1_EP-12_C	T1_EP-12	Sandiegensis	C	3	Center	Restored	Sample	EP-12-A	250
VP.COMB.T1.05.S5.L001	VP-04-01	EP-07	EP-07	T1	T1_EP-07_A	T1_EP-07	Sandiegensis	A	3	Edge	Restored	Sample	EP-07-A	325
VP.COMB.T1.10.S10.L001	VP-04-02	EP-07	EP-07	T1	T1_EP-07_B	T1_EP-07	Sandiegensis	B	3	Middle	Restored	Sample	EP-07-A	300
VP.COMB.T1.14.S14.L001	VP-04-03	EP-07	EP-07	T1	T1_EP-07_C	T1_EP-07	Sandiegensis	C	3	Center	Restored	Sample	EP-07-A	400
VP.COMB.T1.17.S17.L001	VP-05-01	EP-06	EP-06	T1	T1_EP-06_A	T1_EP-06	Sandiegensis	A	3	Edge	Restored	Sample	EP-06-A	400
VP.COMB.T1.04.S4.L001	VP-05-02	EP-06	EP-06	T1	T1_EP-06_B	T1_EP-06	Sandiegensis	B	3	Middle	Restored	Sample	EP-06-A	300
VP.COMB.T1.12.S12.L001	VP-05-03	EP-06	EP-06	T1	T1_EP-06_C	T1_EP-06	Sandiegensis	C	3	Center	Restored	Sample	EP-06-A	400
VP.COMB.T1.20.S20.L001	VP-06-01	EP-05	EP-05	T1	T1_EP-05_A	T1_EP-05	Sandiegensis	A	3	Edge	Restored	Sample	EP-05-A	250
VP.COMB.T1.25.S25.L001	VP-06-02	EP-05	EP-05	T1	T1_EP-05_B	T1_EP-05	Sandiegensis	B	3	Middle	Restored	Sample	EP-05-A	300
VP.COMB.T1.24.S24.L001	VP-06-03	EP-05	EP-05	T1	T1_EP-05_C	T1_EP-05	Sandiegensis	C	3	Center	Restored	Sample	EP-05-A	325
