Sample_name	Field_sample_name	Field_sample_name	Pool	Pool_collapse	Time_point	Presence_in_net	Pool_location	Pristine_vs_Restored	Sample_Control	Replicate	Volume_filtered
T3.33.S92.L001	Neg_control	Neg_control	NA	NA	NA	NA	NA	NA	Control	NA	NA
T3.34.S93.L001	Post_control	Post_control	NA	NA	NA	NA	NA	NA	Control	NA	NA
T1.01.S1.L001	BLANK-1	BLANK-1	NA	NA	T1	NA	NA	NA	Control	NA	1000
T2.01.S32.L001	BLANK-2	BLANK-2	NA	NA	T2	NA	NA	NA	Control	NA	1000
T3.01.S60.L001	BLANK-3	BLANK-3	NA	NA	T3	NA	NA	NA	Control	NA	1000
T1.06.S6.L001	VP-01-01	T1_VP-01-01	EP-17	EP-17	T1	Sandiegensis	Edge	Restored	Sample	EP-17-A	250
T1.23.S23.L001	VP-01-02	T1_VP-01-02	EP-17	EP-17	T1	Sandiegensis	Middle	Restored	Sample	EP-17-A	200
T1.26.S26.L001	VP-01-03	T1_VP-01-03	EP-17	EP-17	T1	Sandiegensis	Center	Restored	Sample	EP-17-A	275
T1.09.S9.L001	VP-02-01	T1_VP-02-01	EP-13	EP-13	T1	Sandiegensis	Edge	Restored	Sample	EP-13-A	350
T1.13.S13.L001	VP-02-02	T1_VP-02-02	EP-13	EP-13	T1	Sandiegensis	Middle	Restored	Sample	EP-13-A	300
T1.28.S28.L001	VP-02-03	T1_VP-02-03	EP-13	EP-13	T1	Sandiegensis	Center	Restored	Sample	EP-13-A	250
T1.21.S21.L001	VP-03-01	T1_VP-03-01	EP-12	EP-12	T1	Sandiegensis	Edge	Restored	Sample	EP-12-A	300
T1.03.S3.L001	VP-03-02	T1_VP-03-02	EP-12	EP-12	T1	Sandiegensis	Middle	Restored	Sample	EP-12-A	300
T1.15.S15.L001	VP-03-03	T1_VP-03-03	EP-12	EP-12	T1	Sandiegensis	Center	Restored	Sample	EP-12-A	250
T1.05.S5.L001	VP-04-01	T1_VP-04-01	EP-07	EP-07	T1	Sandiegensis	Edge	Restored	Sample	EP-07-A	325
T1.10.S10.L001	VP-04-02	T1_VP-04-02	EP-07	EP-07	T1	Sandiegensis	Middle	Restored	Sample	EP-07-A	300
T1.14.S14.L001	VP-04-03	T1_VP-04-03	EP-07	EP-07	T1	Sandiegensis	Center	Restored	Sample	EP-07-A	400
T1.17.S17.L001	VP-05-01	T1_VP-05-01	EP-06	EP-06	T1	Sandiegensis	Edge	Restored	Sample	EP-06-A	400
