"Species","Site","Date","mean","2.5%","97.5%"
"Branchinecta_sandiegonensis","VP-1","T1",1,1,1
"Branchinecta_sandiegonensis","VP-1","T2",0,0,0
"Branchinecta_sandiegonensis","VP-1","T3",0.97,0.7,1
"Branchinecta_sandiegonensis","VP-2","T1",1,1,1
"Branchinecta_sandiegonensis","VP-2","T2",0.971,0.743,1
"Branchinecta_sandiegonensis","VP-2","T3",1,1,1
"Branchinecta_sandiegonensis","VP-3","T1",1,1,1
"Branchinecta_sandiegonensis","VP-3","T2",1,1,1
"Branchinecta_sandiegonensis","VP-3","T3",1,1,1
"Branchinecta_sandiegonensis","VP-4","T1",1,1,1
"Branchinecta_sandiegonensis","VP-4","T2",1,1,1
"Branchinecta_sandiegonensis","VP-4","T3",0.971,0.761,1
"Branchinecta_sandiegonensis","VP-5","T1",1,1,1
"Branchinecta_sandiegonensis","VP-5","T2",1,1,1
"Branchinecta_sandiegonensis","VP-5","T3",1,1,1
"Branchinecta_sandiegonensis","VP-6","T1",1,1,1
"Branchinecta_sandiegonensis","VP-6","T2",1,1,1
"Branchinecta_sandiegonensis","VP-6","T3",0.97,0.705,1
"Branchinecta_sandiegonensis","VP-7","T1",1,1,1
"Branchinecta_sandiegonensis","VP-7","T2",1,1,1
"Branchinecta_sandiegonensis","VP-7","T3",0.968,0.63,1
"Branchinecta_sandiegonensis","VP-8","T1",1,1,1
"Branchinecta_sandiegonensis","VP-8","T3",1,1,1
"Branchinecta_sandiegonensis","VP-9","T3",0,0,0
"Branchinecta_sandiegonensis","VP-10","T1",1,1,1
"Branchinecta_sandiegonensis","VP-10","T2",1,1,1
"Branchinecta_sandiegonensis","VP-10","T3",0.969,0.693,1
